"id";"nome";"partida_id";"ano";"classificado_russia";"qtde"
447;"Brazil";73;1990;1;2
435;"Cameroon";108;1990;0;2
466;"Sweden";1390;1958;1;0
443;"Argentina";1451;1962;1;0
447;"Brazil";2246;1978;1;0
474;"France";300186462;2014;1;2
474;"France";1650;1966;1;0
508;"Switzerland";1300;1954;1;0
437;"Netherlands";196;1990;0;3
499;"Iran";8767;1998;1;1
509;"Belgium";8765;1998;1;1
471;"Bulgaria";460;1986;0;1
468;"Morocco";675;1986;1;0
478;"Korea Republic";43950056;2002;1;3
481;"Russia";43950046;2002;1;3
462;"Honduras";300061495;2010;0;1
465;"Italy";97410053;2006;0;4
478;"Korea Republic";1304;1954;1;0
466;"Sweden";3080;1994;1;0
450;"Mexico";1403;1958;1;0
479;"Ecuador";300186515;2014;0;2
507;"Greece";3072;1994;0;3
465;"Italy";300061484;2010;0;0
509;"Belgium";1753;1970;1;0
437;"Netherlands";8785;1998;0;2
443;"Argentina";1947;1974;1;2
497;"England";1373;1958;1;0
480;"Denmark";43950050;2002;1;1
510;"Bolivia";1185;1950;0;0
443;"Argentina";749;1982;1;1
474;"France";1385;1958;1;0
447;"Brazil";43950041;2002;1;1
493;"USA";1090;1930;0;0
505;"Romania";1157;1938;0;0
454;"Spain";1186;1950;1;0
498;"Uruguay";1479;1962;1;0
490;"Chile";300186470;2014;0;1
497;"England";1811;1970;1;1
447;"Brazil";789;1982;1;0
442;"IR Iran";300186505;2014;0;1
438;"Nigeria";3061;1994;1;0
467;"Paraguay";8748;1998;0;2
479;"Ecuador";97410002;2006;0;2
447;"Brazil";1343;1958;1;0
447;"Brazil";2252;1978;1;1
447;"Brazil";1188;1950;1;0
504;"Portugal";300061487;2010;1;1
443;"Argentina";300186503;2014;1;4
490;"Chile";8743;1998;0;4
454;"Spain";551;1986;1;1
447;"Brazil";97410055;2006;1;2
447;"Brazil";2253;1978;1;1
471;"Bulgaria";8761;1998;0;1
437;"Netherlands";8787;1998;0;2
479;"Ecuador";43950011;2002;0;3
447;"Brazil";439;1986;1;1
447;"Brazil";97410011;2006;1;1
498;"Uruguay";1771;1970;1;3
440;"Scotland";8758;1998;0;2
473;"Germany";97410063;2006;1;1
429;"Costa Rica";129;1990;1;2
447;"Brazil";8742;1998;1;2
472;"Norway";3064;1994;0;2
504;"Portugal";300111111;2010;1;4
459;"Austria";2215;1978;0;0
490;"Chile";1608;1966;0;0
464;"Tunisia";97410031;2006;1;4
497;"England";536;1986;1;2
436;"Saudi Arabia";97410032;2006;1;3
450;"Mexico";97410007;2006;1;2
461;"Poland";1150;1938;1;0
435;"Cameroon";8744;1998;0;5
437;"Netherlands";300061512;2010;0;3
465;"Italy";97410061;2006;0;1
447;"Brazil";1771;1970;1;1
453;"Algeria";741;1982;0;0
437;"Netherlands";2220;1978;0;0
435;"Cameroon";300186453;2014;0;1
453;"Algeria";739;1982;0;1
508;"Switzerland";300186482;2014;1;0
459;"Austria";2220;1978;0;0
501;"Ukraine";97410048;2006;0;4
498;"Uruguay";1689;1966;1;0
465;"Italy";97410025;2006;0;3
465;"Italy";2247;1978;0;1
447;"Brazil";1945;1974;1;0
488;"Ghana";97410055;2006;0;5
479;"Ecuador";43950027;2002;0;3
509;"Belgium";3085;1994;1;1
461;"Poland";2431;1978;1;0
454;"Spain";300061498;2010;1;1
497;"England";538;1986;1;2
465;"Italy";1149;1938;0;0
440;"Scotland";2176;1974;0;1
466;"Sweden";1922;1970;1;0
471;"Bulgaria";3100;1994;0;3
447;"Brazil";75;1990;1;3
509;"Belgium";774;1982;1;0
477;"Japan";97410028;2006;1;3
443;"Argentina";300061458;2010;1;3
448;"Senegal";43950001;2002;1;1
459;"Austria";1236;1954;0;0
447;"Brazil";2251;1978;1;1
498;"Uruguay";1315;1954;1;0
450;"Mexico";3078;1994;1;3
474;"France";567;1986;1;1
454;"Spain";8761;1998;1;1
509;"Belgium";1240;1954;1;0
464;"Tunisia";43950031;2002;1;4
493;"USA";43950030;2002;0;2
473;"Germany";3085;1994;1;2
449;"Hungary";1407;1958;0;0
497;"England";162;1990;1;0
465;"Italy";788;1982;0;2
454;"Spain";3075;1994;1;1
461;"Poland";996;1982;1;3
454;"Spain";97410056;2006;1;1
461;"Poland";43950014;2002;1;3
508;"Switzerland";1641;1966;1;0
443;"Argentina";31;1990;1;3
454;"Spain";43950008;2002;1;1
454;"Spain";900;1982;1;3
508;"Switzerland";1166;1938;1;0
467;"Paraguay";536;1986;0;1
499;"Iran";8735;1998;1;0
498;"Uruguay";1922;1970;1;0
461;"Poland";834;1982;1;1
466;"Sweden";1102;1934;1;0
478;"Korea Republic";8749;1998;1;1
466;"Sweden";75;1990;1;1
474;"France";1094;1930;1;0
476;"Colombia";300186461;2014;1;4
498;"Uruguay";1207;1950;1;0
443;"Argentina";8779;1998;1;3
443;"Argentina";1952;1974;1;2
454;"Spain";300061506;2010;1;2
449;"Hungary";1175;1938;0;0
449;"Hungary";1490;1962;0;0
475;"Iraq";427;1986;0;6
497;"England";97410035;2006;1;1
498;"Uruguay";1925;1970;1;0
503;"Wales";1345;1958;0;0
505;"Romania";3062;1994;0;3
504;"Portugal";675;1986;1;1
447;"Brazil";3090;1994;1;3
461;"Poland";444;1986;1;3
504;"Portugal";97410052;2006;1;6
466;"Sweden";1228;1950;1;0
477;"Japan";43950029;2002;1;2
465;"Italy";2349;1978;0;0
451;"Peru";1780;1970;1;0
473;"Germany";8738;1998;1;2
501;"Ukraine";97410054;2006;0;0
498;"Uruguay";300186489;2014;1;4
447;"Brazil";1326;1958;1;0
465;"Italy";1682;1966;0;0
463;"Croatia";300186452;2014;1;1
466;"Sweden";1158;1938;1;0
443;"Argentina";1447;1962;1;1
466;"Sweden";1343;1958;1;0
447;"Brazil";1987;1974;1;0
437;"Netherlands";300061509;2010;0;8
436;"Saudi Arabia";97410016;2006;1;0
459;"Austria";1105;1934;0;0
473;"Germany";300061470;2010;1;4
478;"Korea Republic";1294;1954;1;0
509;"Belgium";66;1990;1;1
450;"Mexico";1544;1962;1;0
510;"Bolivia";1092;1930;0;0
476;"Colombia";8755;1998;1;1
