"team";"nome";"partida_id";"ano";"classificado_russia"
436;"Saudi Arabia";4;2018;1
436;"Saudi Arabia";1;2018;1
436;"Saudi Arabia";6;2018;1
508;"Switzerland";28;2018;1
508;"Switzerland";30;2018;1
508;"Switzerland";26;2018;1
512;"South Korea";33;2018;1
512;"South Korea";35;2018;1
512;"South Korea";32;2018;1
443;"Argentina";19;2018;1
443;"Argentina";21;2018;1
443;"Argentina";24;2018;1
441;"Australia";15;2018;1
441;"Australia";18;2018;1
441;"Australia";13;2018;1
509;"Belgium";41;2018;1
509;"Belgium";39;2018;1
509;"Belgium";37;2018;1
447;"Brazil";27;2018;1
447;"Brazil";26;2018;1
447;"Brazil";29;2018;1
476;"Colombia";46;2018;1
476;"Colombia";48;2018;1
476;"Colombia";43;2018;1
429;"Costa Rica";27;2018;1
429;"Costa Rica";30;2018;1
429;"Costa Rica";25;2018;1
463;"Croatia";20;2018;1
463;"Croatia";21;2018;1
463;"Croatia";23;2018;1
480;"Denmark";14;2018;1
480;"Denmark";15;2018;1
480;"Denmark";17;2018;1
485;"Egypt";2;2018;1
485;"Egypt";6;2018;1
485;"Egypt";3;2018;1
497;"England";38;2018;1
497;"England";41;2018;1
497;"England";40;2018;1
474;"France";16;2018;1
474;"France";13;2018;1
474;"France";17;2018;1
473;"Germany";34;2018;1
473;"Germany";35;2018;1
473;"Germany";31;2018;1
1000;"Iceland";22;2018;1
1000;"Iceland";23;2018;1
1000;"Iceland";19;2018;1
499;"Iran";7;2018;1
499;"Iran";10;2018;1
499;"Iran";12;2018;1
477;"Japan";47;2018;1
477;"Japan";45;2018;1
477;"Japan";43;2018;1
450;"Mexico";36;2018;1
450;"Mexico";31;2018;1
450;"Mexico";33;2018;1
468;"Morocco";7;2018;1
468;"Morocco";11;2018;1
468;"Morocco";9;2018;1
438;"Nigeria";24;2018;1
438;"Nigeria";20;2018;1
438;"Nigeria";22;2018;1
1001;"Panama";40;2018;1
1001;"Panama";37;2018;1
1001;"Panama";42;2018;1
451;"Peru";18;2018;1
451;"Peru";14;2018;1
451;"Peru";16;2018;1
461;"Poland";46;2018;1
461;"Poland";47;2018;1
461;"Poland";44;2018;1
504;"Portugal";8;2018;1
504;"Portugal";12;2018;1
504;"Portugal";9;2018;1
481;"Russia";3;2018;1
481;"Russia";1;2018;1
481;"Russia";5;2018;1
448;"Senegal";45;2018;1
448;"Senegal";48;2018;1
448;"Senegal";44;2018;1
456;"Serbia";25;2018;1
456;"Serbia";29;2018;1
456;"Serbia";28;2018;1
512;"South Korea";33;2018;1
512;"South Korea";35;2018;1
512;"South Korea";32;2018;1
454;"Spain";8;2018;1
454;"Spain";11;2018;1
454;"Spain";10;2018;1
466;"Sweden";36;2018;1
466;"Sweden";32;2018;1
466;"Sweden";34;2018;1
508;"Switzerland";28;2018;1
508;"Switzerland";30;2018;1
508;"Switzerland";26;2018;1
464;"Tunisia";42;2018;1
464;"Tunisia";38;2018;1
464;"Tunisia";39;2018;1
498;"Uruguay";2;2018;1
498;"Uruguay";5;2018;1
498;"Uruguay";4;2018;1
