"partida_id";"ano";"fase";"id_casa";"gols_casa";"gols_fora";"id_fora"
27;1990;"Final";492;1;0;443
1233;1954;"Semi-finals";492;6;1;459
43950018;2002;"Group A";474;0;0;498
2348;1978;"Group A";492;2;2;437
43950055;2002;"Round of 16";477;0;1;430
1608;1966;"Group D";465;2;0;490
1982;1974;"Group A";447;1;0;455
8760;1998;"Group B";490;1;1;435
300186514;2014;"Group E";508;2;5;474
1194;1950;"Group B";490;5;2;493
300186463;2014;"Group E";462;1;2;479
3100;1994;"Semi-finals";471;1;2;465
1577;1966;"Quarter-finals";497;1;0;443
1480;1962;"Group A";482;5;0;476
3071;1994;"Group D";443;2;1;438
3063;1994;"Group A";493;2;1;476
2247;1978;"Match for third place";447;2;1;465
1236;1954;"Group C";459;1;0;440
1902;1970;"Group A";450;0;0;495
3080;1994;"Group B";447;1;1;466
1610;1966;"Group D";495;2;1;490
921;1982;"Match for third place";461;3;2;474
300061451;2010;"Group A";474;0;2;450
1252;1954;"Group A";447;1;1;482
4000;1998;"Group A";447;2;1;440
2224;1978;"Group C";459;1;0;466
8759;1998;"Group A";447;1;2;472
300186460;2014;"Round of 16";473;2;1;453
8748;1998;"Group D";454;0;0;467
1650;1966;"Group A";474;1;1;450
300186467;2014;"Group B";441;0;3;454
300186465;2014;"Group D";465;0;1;498
1770;1970;"Group C";447;4;1;500
522;1986;"Group E";480;6;1;498
300061463;2010;"Group C";432;2;2;493
8770;1998;"Group G";476;0;2;497
2067;1974;"Group A";455;0;2;437
1599;1966;"Group C";449;3;1;471
300186496;2014;"Group E";474;3;0;462
43950002;2002;"Group E";452;1;1;435
43950015;2002;"Group H";481;2;0;464
43950064;2002;"Final";473;0;2;447
300061469;2010;"Group D";488;1;1;441
378;1986;"Group D";453;0;3;454
1995;1974;"Group C";466;0;0;471
920;1982;"Group D";474;4;1;445
97410042;2006;"Group E";488;2;1;493
1249;1954;"Group A";447;5;0;450
1313;1954;"Group C";498;7;0;440
3067;1994;"Group B";447;3;0;435
300111117;2010;"Group E";437;1;0;477
1218;1950;"Group C";465;2;0;467
1948;1974;"Group A";437;4;0;443
43950031;2002;"Group H";464;1;1;509
1173;1938;"First round";449;6;0;502
901;1982;"Group E";454;1;1;462
3078;1994;"Group E";465;1;1;450
1747;1970;"Group A";509;3;0;494
300186474;2014;"Semi-finals";447;1;7;473
1392;1958;"Quarter-finals";492;1;0;482
43950049;2002;"Round of 16";473;1;0;467
8783;1998;"Quarter-finals";473;0;3;463
1752;1970;"Group A";450;1;0;509
959;1982;"Group E";462;1;1;445
43950054;2002;"Round of 16";447;2;0;509
2181;1974;"Group C";466;3;0;498
8758;1998;"Group A";440;0;3;468
1811;1970;"Quarter-finals";492;3;2;497
395;1986;"Group A";443;3;1;478
300186469;2014;"Group G";493;0;1;473
1264;1954;"Quarter-finals";498;4;2;497
1996;1974;"Group C";471;1;1;498
1434;1958;"Group B";482;1;1;440
1135;1934;"Preliminary round";465;7;1;493
1326;1958;"Group D";447;3;0;459
300186481;2014;"Group H";509;1;0;481
1187;1950;"Group A";447;4;0;450
97410010;2006;"Group E";493;0;3;487
460;1986;"Group A";478;1;1;471
1099;1930;"Group C";498;1;0;451
2253;1978;"Group C";466;1;1;447
43950010;2002;"Group C";447;2;1;430
1426;1958;"Group B";467;3;3;482
459;1986;"Group A";471;1;1;465
97410051;2006;"Round of 16";497;1;0;479
300186479;2014;"Group H";509;2;1;453
1324;1958;"Group A";443;3;1;445
2004;1974;"Group A";490;1;1;455
421;1986;"Quarter-finals";454;1;1;509
31;1990;"Quarter-finals";482;0;0;443
1839;1970;"Group D";492;2;1;468
1877;1970;"Group B";465;0;0;489
8727;1998;"Group B";435;1;1;459
97410015;2006;"Group H";454;4;0;501
300061449;2010;"Group A";474;1;2;460
300061508;2010;"Quarter-finals";498;1;1;488
741;1982;"Group B";492;1;2;453
463;1986;"Round of 16";450;2;0;471
8734;1998;"Group H";443;1;0;477
8779;1998;"Round of 16";443;2;2;497
129;1990;"Round of 16";500;4;1;429
8751;1998;"Group H";477;0;1;463
300061512;2010;"Semi-finals";498;2;3;437
3090;1994;"Round of 16";447;1;0;493
43950045;2002;"Group H";464;0;2;477
1084;1930;"Group A";443;3;1;490
97410017;2006;"Group A";473;1;0;461
1437;1958;"Quarter-finals";466;2;0;495
1764;1970;"Group C";447;1;0;497
568;1986;"Round of 16";465;0;2;474
97410052;2006;"Round of 16";504;1;0;437
1544;1962;"Group C";450;3;1;500
300061464;2010;"Group C";497;0;0;453
1415;1958;"Group C";466;3;0;450
300061497;2010;"Round of 16";467;0;0;477
2217;1978;"Group A";459;3;2;492
2186;1974;"Group B";482;9;0;439
97410028;2006;"Group F";477;0;0;463
1983;1974;"Group A";437;2;0;447
43950032;2002;"Group D";504;4;0;461
300061500;2010;"Round of 16";447;3;0;490
779;1982;"Group C";509;1;1;449
1208;1950;"Group B";454;3;1;493
1451;1962;"Group D";449;0;0;443
1598;1966;"Group C";504;3;1;447
585;1986;"Group E";498;1;1;492
3087;1994;"Round of 16";436;1;3;466
3075;1994;"Group C";510;1;3;454
1325;1958;"Group A";500;6;1;443
8761;1998;"Group D";454;6;1;471
2252;1978;"Group B";447;3;1;461
8775;1998;"Round of 16";438;1;4;480
1239;1954;"Match for third place";459;3;1;498
3088;1994;"Round of 16";505;3;2;443
574;1986;"Round of 16";468;0;1;492
628;1986;"Group B";467;1;0;475
771;1982;"Group D";459;2;2;445
300061454;2010;"Group A";460;1;1;450
300186501;2014;"Final";473;1;0;443
1422;1958;"Group A";445;2;1;500
263;1990;"Group A";465;2;0;500
29;1990;"Group B";443;1;1;505
1753;1970;"Group A";495;4;1;509
159;1990;"Semi-finals";492;1;1;497
1478;1962;"Group A";495;4;4;476
161;1990;"Group F";497;1;1;452
2431;1978;"Group B";461;3;1;450
97410014;2006;"Group G";478;2;1;484
3089;1994;"Round of 16";437;2;0;452
290;1990;"Group E";478;0;1;498
1094;1930;"Group A";490;1;0;474
767;1982;"Group D";459;0;1;474
8745;1998;"Group C";474;4;0;436
1947;1974;"Group D";443;4;1;457
2396;1978;"Group A";465;3;1;449
8730;1998;"Group C";474;3;0;460
43950059;2002;"Quarter-finals";454;0;0;478
97410054;2006;"Round of 16";508;0;0;501
3064;1994;"Group E";465;1;0;472
300186515;2014;"Group E";479;0;0;474
8782;1998;"Quarter-finals";447;3;2;480
1919;1970;"Group C";505;2;1;500
1107;1934;"Semi-finals";465;1;0;459
300186456;2014;"Group A";447;3;1;463
