"partida_id";"ano";"fase";"id_casa";"id_fora"
1;"2018";"Group A";481;436
2;"2018";"Group A";485;498
3;"2018";"Group A";481;485
4;"2018";"Group A";498;436
5;"2018";"Group A";498;481
6;"2018";"Group A";436;485
7;"2018";"Group B";468;499
8;"2018";"Group B";504;454
9;"2018";"Group B";504;468
10;"2018";"Group B";499;454
11;"2018";"Group B";454;468
12;"2018";"Group B";499;504
13;"2018";"Group C";474;441
14;"2018";"Group C";451;480
15;"2018";"Group C";480;441
16;"2018";"Group C";474;451
17;"2018";"Group C";480;474
18;"2018";"Group C";441;451
19;"2018";"Group D";443;1000
20;"2018";"Group D";463;438
21;"2018";"Group D";443;463
22;"2018";"Group D";438;1000
23;"2018";"Group D";1000;463
24;"2018";"Group D";438;443
25;"2018";"Group E";429;456
26;"2018";"Group E";447;508
27;"2018";"Group E";447;429
28;"2018";"Group E";456;508
29;"2018";"Group E";456;447
30;"2018";"Group E";508;429
31;"2018";"Group F";473;450
32;"2018";"Group F";466;512
33;"2018";"Group F";512;450
34;"2018";"Group F";473;466
35;"2018";"Group F";512;473
36;"2018";"Group F";450;466
37;"2018";"Group G";509;1001
38;"2018";"Group G";464;497
39;"2018";"Group G";509;464
40;"2018";"Group G";497;1001
41;"2018";"Group G";497;509
42;"2018";"Group G";1001;464
43;"2018";"Group H";476;477
44;"2018";"Group H";461;448
45;"2018";"Group H";477;448
46;"2018";"Group H";461;476
47;"2018";"Group H";477;461
48;"2018";"Group H";448;476
