"id";"nome";"classificado_russia";"rnk";"sigla";"points";"participacoes_copa"
429;"Costa Rica";1;23;"CRC";884;4
430;"Turkey";0;38;"TUR";706;2
432;"Slovenia";0;56;"SVN";558;2
434;"Kuwait";0;;"";;1
433;"Jamaica";0;54;"JAM";588;1
435;"Cameroon";0;49;"CMR";614;7
437;"Netherlands";0;17;"NED";981;10
438;"Nigeria";1;48;"NGA";618;5
439;"Zaire";0;;"";;1
440;"Scotland";0;42;"SCO";660;8
441;"Australia";1;36;"AUS";718;4
442;"IR Iran";0;37;"IRN";708;3
443;"Argentina";1;5;"ARG";1241;16
444;"Slovakia";0;28;"SVK";804;1
445;"Northern Ireland";0;29;"NIR";803;3
446;"Cuba";0;;"";;1
447;"Brazil";1;2;"BRA";1431;20
448;"Senegal";1;27;"SEN";838;1
449;"Hungary";0;51;"HUN";612;9
450;"Mexico";1;15;"MEX";989;15
451;"Peru";1;11;"PER";1125;4
452;"rn"">Republic of Ireland";0;;"";;3
453;"Algeria";0;66;"ALG";474;4
454;"Spain";1;10;"ESP";1126;14
455;"German DR";0;;"";;1
456;"Serbia";1;34;"SRB";751;1
457;"Haiti";0;;"";;1
458;"rn"">Trinidad and Tobago";0;;"";;1
459;"Austria";0;26;"AUT";845;7
461;"Poland";1;8;"POL";1183;7
462;"Honduras";0;62;"HON";503;3
464;"Tunisia";1;21;"TUN";910;4
463;"Croatia";1;20;"CRO";945;4
466;"Sweden";1;24;"SWE";880;11
465;"Italy";0;19;"ITA";951;18
467;"Paraguay";0;32;"PAR";773;8
468;"Morocco";1;41;"MAR";686;4
469;"Korea DPR";0;;"";;2
470;"rn"">Serbia and Montenegro";0;;"";;1
471;"Bulgaria";0;49;"BUL";614;7
472;"Norway";0;53;"NOR";596;3
473;"Germany";1;1;"GER";1558;8
474;"France";1;7;"FRA";1198;14
476;"Colombia";1;16;"COL";986;5
477;"Japan";1;61;"JPN";521;5
478;"Korea Republic";1;57;"KOR";544;9
479;"Ecuador";0;60;"ECU";524;3
482;"Yugoslavia";0;;"";;9
512;"South Korea";1;;"";;
1000;"Iceland";1;22;"ISL";908;
1001;"Panama";1;55;"PAN";571;
431;"Côte d'Ivoire";0;68;"CIV";463;3
436;"Saudi Arabia";1;67;"KSA";465;4
460;"South Africa";0;74;"RSA";428;3
475;"Iraq";0;89;"IRQ";377;1
480;"Denmark";1;12;"DEN";1051;4
481;"Russia";1;70;"RUS";457;3
483;"rn"">United Arab Emirates";0;;"";;1
484;"Togo";0;;"";;1
485;"Egypt";1;45;"EGY";649;2
486;"Angola";0;;"";;1
487;"Czech Republic";0;46;"CZE";641;1
488;"Ghana";0;47;"GHA";624;3
489;"Israel";0;93;"ISR";362;1
490;"Chile";0;9;"CHI";1135;9
491;"New Zealand";0;;"";;2
492;"Germany FR";0;;"";;10
493;"USA";0;25;"USA";873;10
494;"El Salvador";0;72;"SLV";442;2
495;"Soviet Union";0;;"";;7
496;"rn"">Bosnia and Herzegovina";0;;"";;1
497;"England";1;12;"ENG";1051;14
498;"Uruguay";1;14;"URU";1018;12
499;"Iran";1;;"";;3
500;"Czechoslovakia";0;;"";;8
501;"Ukraine";0;35;"UKR";733;1
502;"Dutch East Indies";0;;"";;1
503;"Wales";0;18;"WAL";953;1
504;"Portugal";1;4;"POR";1274;6
505;"Romania";0;30;"ROU";782;7
506;"Canada";0;79;"CAN";411;1
507;"Greece";0;44;"GRE";650;3
508;"Switzerland";1;6;"SUI";1199;10
509;"Belgium";1;3;"BEL";1298;12
510;"Bolivia";0;59;"BOL";536;3
511;"China PR";0;75;"CHN";423;1
